Диски	Wheels
Грузовые диски	Truck wheels
Грузовые	Truck wheels
Грузовые и спецтехника	Truck wheels and special machinery
Диагон. шины для самосвалов и погрузчиков	Diagonal tires for dump trucks and loaders
Камеры	Air tubes
Легковые зимние	Passenger car winter tires
Легковые летние	Passenger car summer tires
Легкогрузовые зимние	Light truck winter tires
Легкогрузовые летние	Light truck summer tires
Неошипованные легковые	Studdable pass.car tires
Неошипованные легкогрузовые	studdable light truck tires
Нешипуемые легковые	Non-studdable passenger car tires
Нешипуемые легкогрузовые	Non-studdable light truck tires
Ободные ленты	Tire flap
Сельскохозяйственные	Special machinery
Спецтехника	Friction tires
Фрикционные легкогрузовые	Light truck friction tires
Шины	Tires
Шины для вилочных погрузчиков	Loaders tires
Шины для дор.-строит. Техники	Road machinery tires
Шины радиальные для Д-С Техники	Road machinery radial tires
Шипованные легковые	Studded pass.car tires
Шипованные легкогрузовые	Studded ligh truck tires
шип	stud
ШПИЛ	Pin
шпилечный	Pin
Б/Ф	
БЕЗ ОБОДНОЙ ЛЕНТЫ	no tire flap
УЦЕНКА	sale
все оси	all axles
ведущая ось	driving axle
рулевая ось	steering axle
прицепная ось	trailer axle
вед.оси для строит.	driving axle for constr.machinery
ведущие оси	driving axles
сл.	layers
оси прицепа и п/прицепа	trailer and semi-trailer axles
б/к	no air tube
без о.л.	no tire flap
зимний рисунок	winter pattern
ведущая ось и оси полуприцепа	driving axle and axle of semi-trailer
рулевая ось и ось прицепа	Steering and driving axle
зимний	winter
АВТОШИНА	AVTOSHINA
Алтайшина	Altayshina
Барнаул	Barnaul
ОШЗ	Omsk
НкШЗ	Nizhnekamsk
Бобруйск	Bobrujsk
Кама	Kama
ЯШЗ	Yaroslavl
портовые погрузчики	Port loaders
 сл.	layer
БЕЗ КАМЕРЫ	no air tube
вентель	ventil
газель	Gazel
газель и бычок	Gazel and ZIL
Ошип.	Studded
кам.	air tube
ОБОДНАЯ ЛЕНТА	Tire flap
п/ш	pressure pad
Болты	Bolts
Гайки	Nuts
Кольца	Ring spacer
Китай	China
Кованные	Forged
Литые	Alloy
литые	alloy
Штампованные	Steel
Штампованые	Steel
штампованные	steel
Грузовые диски	Truck wheels
ГАЗ	GAZ
Кременчуг	Kremenchug
Распр.	Sale
ФМЗ	FMZ
Кольцо пружина для крышек	Spring for caps
Кольцо пластиковое	Plastic ring spacer
Кольцо алюминиевое	Aluminium spacer
Кольцо проставочное	Spacer ring
прям.	direct polarity
обр.	reverse polarity
Турция	Turkey
Казахстан	Kazakhstan
Южная Корея	South Korea
Тюменский завод "АЛЬКОР"	Tyumen
ООО «ИСточник ТОка Курский»	LLC Istochnik toka Kurskiy
Иркутский аккумуляторный завод  (АкТех)	Irkutsk battery factory
ЯМАЛ	Yamal
п.п.	direct polarity
о.п.	reverse polarity
Тюменский медведь	Tyumen medved
Курский аккумулятор	Kursk battery
Аналоговый	Analogue
Цифровой	Digital
Зверь	Zver
РЫСЬ СТАНДАРТ	Rys standart
РЫСЬ УЛЬТРА	Rys ultra
Тестер	Tester
Зарядное  устройство	Charger
Актех	Aktekh
с буртиком	
тонк. кл.	
конус	cone shape
Сф.	Shpere shape
Цинк	Zink
конус	cone shape
открытая	open
 закрытая	closed
<Нет фото>	no photo
переходник	adapter
корпус 60	battery jar 60
низк.	low
А/ч, п.п.	
(Польша)	Poland
Комплект болтов	Bolt kit
Комплект гаек	Nut kit
Болт	Bolt
Гайка	Nut
Под заказ. Срок доставки 60 дней.	Under the order. Delivery in 60 days.
